ID,revolutions,humidity,vibration
539,91.668,73.824,18.54
540,91.664,73.823,18.54
541,91.661,73.823,18.54
542,91.657,73.823,18.54
543,91.653,73.822,18.54
544,91.649,73.822,18.54
545,91.645,73.822,18.54
546,91.641,73.821,18.55
547,91.637,73.821,18.55
548,91.634,73.821,18.55
550,91.626,73.82,18.55
551,91.622,73.82,18.55
553,91.614,73.819,18.55
554,91.61,73.819,18.55
555,91.607,73.819,18.55
556,91.603,73.818,18.56
557,91.599,73.818,18.56
558,91.595,73.818,18.56
559,91.591,73.817,18.56
560,91.587,73.817,18.56
561,91.583,73.817,18.56
562,91.58,73.816,18.56
563,91.576,73.816,18.56
564,91.572,73.816,18.56
565,91.568,73.815,18.56
566,91.564,73.815,18.57
568,91.556,73.814,18.57
569,91.553,73.814,18.57
571,91.545,73.813,18.57
572,91.541,73.813,18.57
575,91.529,73.812,18.57
577,91.522,73.811,18.58
578,91.518,73.811,18.58
579,91.514,73.811,18.58
580,91.51,73.81,18.58
581,91.506,73.81,18.58
583,91.498,73.809,18.58
586,91.487,73.808,18.59
587,91.483,73.808,18.59
589,91.475,73.807,18.59
590,91.471,73.807,18.59
591,91.468,73.807,18.59
592,91.464,73.807,18.59
593,91.46,73.806,18.59
594,91.456,73.806,18.59
596,91.448,73.805,18.6
597,91.444,73.805,18.6
598,91.441,73.805,18.6
599,91.437,73.804,18.6
600,91.433,73.804,18.6
601,91.429,73.804,18.0
602,91.425,73.803,18.6
604,91.417,73.803,18.6
605,91.414,73.802,18.6
606,91.41,73.802,18.61
607,91.406,73.802,18.61
608,91.402,73.801,18.61
609,91.398,73.801,18.61
610,91.394,73.801,18.61
612,91.387,73.8,18.61
613,91.383,73.8,18.61
614,91.379,73.799,18.61
615,91.375,73.799,18.61
616,91.371,73.799,18.62
617,91.367,73.798,18.62
618,91.363,73.798,18.62
619,91.36,73.798,18.62
620,91.356,73.797,18.62
622,91.348,73.797,18.62
623,91.344,73.796,18.62
624,91.34,73.796,18.62
625,91.336,73.796,18.62
626,91.332,73.796,18.63
627,91.329,73.795,18.63
628,91.325,73.795,18.63
629,91.321,73.795,18.63
630,91.317,73.794,18.63
633,91.305,73.793,18.63
634,91.302,73.793,18.63
635,91.298,73.793,18.63
636,91.294,73.792,18.64
637,91.29,73.792,18.64
640,91.278,73.791,18.64
641,91.275,73.791,18.64
642,91.271,73.79,18.64
643,91.267,73.79,18.64
644,91.263,73.79,18.64
646,91.255,73.789,18.65
648,91.248,73.788,18.65
649,91.244,73.788,18.65
650,91.24,73.788,18.65
651,91.236,73.787,18.65
652,91.232,73.787,18.65
654,91.224,73.786,18.65
655,91.221,73.786,18.65
656,91.217,73.786,18.66
657,91.213,73.785,18.66
659,91.205,73.785,18.66
660,91.201,73.784,18.66
661,91.197,73.784,18.66
662,91.194,73.784,18.66
663,91.19,73.784,18.66
665,91.182,73.783,18.66
666,91.178,73.783,18.67
667,91.174,73.782,18.67
668,91.17,73.782,18.67
669,91.167,73.782,18.67
670,91.163,73.781,18.67
671,91.159,73.781,18.67
673,91.151,73.78,18.67
674,91.147,73.78,18.67
676,91.139,73.779,18.68
678,91.132,73.779,18.68
679,91.128,73.778,18.68
680,91.124,73.778,18.68
681,91.12,73.778,18.68
682,91.116,73.777,18.68
683,91.112,73.777,18.68
684,91.109,73.777,18.68
686,91.101,73.776,18.69
687,91.097,73.776,18.69
688,91.093,73.775,18.69
689,91.089,73.775,18.69
